Species;FAO;Stock;Mod;RCP;Year;Month;AreaBefore;AreaAfter;AreaAfter_Temp;AreaAfter_Sal;AreaAfter_O2
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;4;26529,44;19895,66;25548,48;22084,06;24206,84
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;5;26529,44;18846,21;23643,36;22426,42;24811,35
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;6;26529,44;15043,46;19536,08;22320,37;25058,9
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;7;26529,44;14025,67;17809,1;22707,18;25454,39
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;8;26529,44;13348,91;17035,96;22355,18;25568,19
Torsk;COD;ALL;EC-EARTH;rcp45;2011;3;26529,44;21386,99;22784,27;24871,01;26114,01
Torsk;COD;ALL;EC-EARTH;rcp45;2011;4;26529,44;20461,11;23135,97;22971,4;26161,52
Torsk;COD;ALL;EC-EARTH;rcp45;2011;5;26529,44;21075,97;25603,55;21911,81;25877,56
Torsk;COD;ALL;EC-EARTH;rcp45;2011;6;26529,44;18279,71;23493,5;22220,95;24549,58
Torsk;COD;ALL;EC-EARTH;rcp45;2011;7;26529,44;14020,64;19734,42;23110,55;23531,33
Torsk;COD;ALL;EC-EARTH;rcp45;2011;8;26529,44;11781,15;17497,25;23448,42;23205,94
Torsk;COD;ALL;EC-EARTH;rcp85;2011;3;26529,44;12112,35;15898,47;24915,24;18583,65
Torsk;COD;ALL;EC-EARTH;rcp85;2011;4;26529,44;12256,46;15899,79;24915,24;18638,65
Torsk;COD;ALL;EC-EARTH;rcp85;2011;5;26529,44;14553,71;18403,44;23661,16;20065,86
Torsk;COD;ALL;EC-EARTH;rcp85;2011;6;26529,44;10384,53;15519,43;22880;20190,54
Torsk;COD;ALL;EC-EARTH;rcp85;2011;7;26529,44;8744,74;14245,89;22961,76;20686,41
Torsk;COD;ALL;EC-EARTH;rcp85;2011;8;26529,44;7953,212;15402,49;22041,39;19830,51
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;3;26529,44;4197,575;17697,85;10068,13;23827,57
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;4;26529,44;7426,186;21082,91;11055,54;25061,17
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;5;26529,44;8053,586;23155,87;10543,53;25486,59
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;6;26529,44;6961,241;21100,6;9623,371;25647,74
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;7;26529,44;4889,255;19989,23;9624,855;25697,46
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2011;8;26529,44;3313,032;18625,26;10166,94;25613,49
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;3;26529,44;8029,659;12917,85;23940,88;21466,11
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;4;26529,44;14105,4;18839,19;23366,46;24084,33
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;5;26529,44;15178,04;21131,57;21766,72;24392,59
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;6;26529,44;13216,62;18772,06;22206,05;24237,79
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;7;26529,44;9686,136;15768,37;22387,22;23428,03
Torsk;COD;ALL;HadGEM2-ES;rcp45;2011;8;26529,44;7911,337;14559,94;22215,39;22998,62
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;3;26529,44;11544,24;13597,05;25211,41;20299,3
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;4;26529,44;10264,46;14534,39;22695,11;19744,13
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;5;26529,44;9622,639;14319,68;21722,13;19557,42
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;6;26529,44;9447,38;14190,93;21289,07;19127,65
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;7;26529,44;7845,742;12494,26;22522,02;19022,66
Torsk;COD;ALL;HadGEM2-ES;rcp85;2011;8;26529,44;6191,698;10843,98;23493,74;18872,71
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;3;26529,44;10776,68;14984,68;23576,61;17855,17
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;4;26529,44;13366,76;18018,26;23322,28;19159,4
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;5;26529,44;13741,73;19565,4;21787,04;19674,66
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;6;26529,44;10052,84;16552,36;21583,57;19254,48
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;7;26529,44;8100,817;15473,39;21082,89;19618,23
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2012;8;26529,44;6384,652;15319,05;20965,23;19062,85
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;3;26529,44;12787,37;17411,94;23469,72;21386,2
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;4;26529,44;13582,38;18693,59;22657,75;21575,13
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;5;26529,44;12006,61;18496,43;20543,6;20501,18
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;6;26529,44;7609,943;14850,43;21750,38;19829,41
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;7;26529,44;6428,127;13994,39;23198,96;19460,38
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2012;8;26529,44;5485,989;12143,38;23792,42;17786,92
Torsk;COD;ALL;EC-EARTH;rcp45;2012;3;26529,44;9451,505;12870,6;22498,72;20750,68
Torsk;COD;ALL;EC-EARTH;rcp45;2012;4;26529,44;10266,76;13286,48;22746,76;21042,85
Torsk;COD;ALL;EC-EARTH;rcp45;2012;5;26529,44;16565,91;20155,19;23012,98;20977,39
Torsk;COD;ALL;EC-EARTH;rcp45;2012;6;26529,44;14432,82;18717,79;23499,84;20831,77
Torsk;COD;ALL;EC-EARTH;rcp45;2012;7;26529,44;12419,78;17486,99;23296,21;20477,16
